Volume Fraction,Matrix Material,Fibre Material,Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Type,Composite Yield Strain
0.45,2,2,2000,0.37,2540,75000,0.22,0.2,1,0.0149
0.45,2,2,2000,0.37,2540,75000,0.22,0.3,1,0.01489
0.45,2,3,2000,0.37,1470,150000,0.35,0.1,1,0.01439
0.45,2,3,2000,0.37,1470,150000,0.35,0.2,1,0.01435
0.45,2,3,2000,0.37,1470,150000,0.35,0.3,1,0.01428
0.45,2,4,2000,0.37,2530,85000,0.21,0.1,1,0.01478
0.45,2,4,2000,0.37,2530,85000,0.21,0.2,1,0.01475
0.45,2,4,2000,0.37,2530,85000,0.21,0.3,1,0.01475
0.5,2,1,2000,0.37,1770,220000,0.2,0.1,1,0.01274
0.5,2,1,2000,0.37,1770,220000,0.2,0.2,1,0.01275
0.5,2,1,2000,0.37,1770,220000,0.2,0.3,1,0.01245
0.5,2,2,2000,0.37,2540,75000,0.22,0.1,1,0.01356
0.5,2,2,2000,0.37,2540,75000,0.22,0.2,1,0.01347
0.5,2,2,2000,0.37,2540,75000,0.22,0.3,1,0.01321
0.5,2,3,2000,0.37,1470,150000,0.35,0.1,1,0.01296
0.5,2,3,2000,0.37,1470,150000,0.35,0.2,1,0.01294
0.5,2,3,2000,0.37,1470,150000,0.35,0.3,1,0.01264
0.5,2,4,2000,0.37,2530,85000,0.21,0.1,1,0.01342
0.5,2,4,2000,0.37,2530,85000,0.21,0.2,1,0.01334
0.5,2,4,2000,0.37,2530,85000,0.21,0.3,1,0.01306
0.05,2,1,2000,0.37,1770,220000,0.2,0.1,2,0.02768
0.05,2,2,2000,0.37,2540,75000,0.22,0.1,2,0.02793
0.05,2,3,2000,0.37,1470,150000,0.35,0.1,2,0.02775
0.05,2,4,2000,0.37,2530,85000,0.21,0.1,2,0.02787
0.1,2,1,2000,0.37,1770,220000,0.2,0.1,2,0.02302
0.1,2,2,2000,0.37,2540,75000,0.22,0.1,2,0.02352
0.1,2,3,2000,0.37,1470,150000,0.35,0.1,2,0.02316
0.1,2,4,2000,0.37,2530,85000,0.21,0.1,2,0.02343
0.15,2,1,2000,0.37,1770,220000,0.2,0.1,2,0.02003
0.15,2,2,2000,0.37,2540,75000,0.22,0.1,2,0.02054
0.15,2,3,2000,0.37,1470,150000,0.35,0.1,2,0.02017
0.15,2,4,2000,0.37,2530,85000,0.21,0.1,2,0.02044
0.2,2,1,2000,0.37,1770,220000,0.2,0.1,2,0.01721
0.2,2,2,2000,0.37,2540,75000,0.22,0.1,2,0.018
0.2,2,3,2000,0.37,1470,150000,0.35,0.1,2,0.01742
0.2,2,4,2000,0.37,2530,85000,0.21,0.1,2,0.01786
0.25,2,1,2000,0.37,1770,220000,0.2,0.1,2,0.01542
0.25,2,2,2000,0.37,2540,75000,0.22,0.1,2,0.01614
0.25,2,3,2000,0.37,1470,150000,0.35,0.1,2,0.01561
0.25,2,4,2000,0.37,2530,85000,0.21,0.1,2,0.01601
0.3,2,1,2000,0.37,1770,220000,0.2,0.1,2,0.01379
0.3,2,2,2000,0.37,2540,75000,0.22,0.1,2,0.01484
0.3,2,3,2000,0.37,1470,150000,0.35,0.1,2,0.01408
0.3,2,4,2000,0.37,2530,85000,0.21,0.1,2,0.01467
0.35,2,1,2000,0.37,1770,220000,0.2,0.1,2,0.01244
0.35,2,2,2000,0.37,2540,75000,0.22,0.1,2,0.01327
0.35,2,3,2000,0.37,1470,150000,0.35,0.1,2,0.01266
0.35,2,4,2000,0.37,2530,85000,0.21,0.1,2,0.01313
0.4,2,1,2000,0.37,1770,220000,0.2,0.1,2,0.01103
0.4,2,2,2000,0.37,2540,75000,0.22,0.1,2,0.01191
0.4,2,3,2000,0.37,1470,150000,0.35,0.1,2,0.01129
0.4,2,4,2000,0.37,2530,85000,0.21,0.1,2,0.01179
0.45,2,1,2000,0.37,1770,220000,0.2,0.1,2,0.00969
0.45,2,2,2000,0.37,2540,75000,0.22,0.1,2,0.01069
0.45,2,3,2000,0.37,1470,150000,0.35,0.1,2,0.0099
0.45,2,4,2000,0.37,2530,85000,0.21,0.1,2,0.01051
0.5,2,1,2000,0.37,1770,220000,0.2,0.1,2,0.00866
0.5,2,2,2000,0.37,2540,75000,0.22,0.1,2,0.00979
0.5,2,3,2000,0.37,1470,150000,0.35,0.1,2,0.00891
0.5,2,4,2000,0.37,2530,85000,0.21,0.1,2,0.00959
