Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter Size,Mesh Size,Tensile Strength 
0.2,1200,2000.00,0.37,59.00,1770,220000,0.2,0.1,8.4,6,69.12866386
0.2,1200,2000.00,0.37,59.00,1770,220000,0.2,0.2,8.4,6,69.80411064
0.2,1200,2000.00,0.37,59.00,1770,220000,0.2,0.3,8.4,6,70.28212367
0.2,1200,2000.00,0.37,59.00,2540,75000,0.22,0.1,8.4,6,69.04382095
0.2,1200,2000.00,0.37,59.00,2540,75000,0.22,0.2,8.4,6,69.7091031
0.2,1200,2000.00,0.37,59.00,2540,75000,0.22,0.3,8.4,6,70.19022909
0.2,1200,2000.00,0.37,59.00,1470,150000,0.35,0.1,8.4,6,69.09689856
0.2,1200,2000.00,0.37,59.00,1470,150000,0.35,0.2,8.4,6,69.77104773
0.2,1200,2000.00,0.37,59.00,1470,150000,0.35,0.3,8.4,6,70.25325507
0.2,1200,2000.00,0.37,59.00,2530,85000,0.21,0.1,8.4,6,69.05406423
0.2,1200,2000.00,0.37,59.00,2530,85000,0.21,0.2,8.4,6,69.7207423
0.2,1200,2000.00,0.37,59.00,2530,85000,0.21,0.3,8.4,6,70.20260229
0.25,1200,2000.00,0.37,59.00,1770,220000,0.2,0.1,9.41,6,74.98494771
0.25,1200,2000.00,0.37,59.00,1770,220000,0.2,0.2,9.41,6,76.46336778
0.25,1200,2000.00,0.37,59.00,1770,220000,0.2,0.3,9.41,6,77.45948877
0.25,1200,2000.00,0.37,59.00,2540,75000,0.22,0.1,9.41,6,74.80266588
0.25,1200,2000.00,0.37,59.00,2540,75000,0.22,0.2,9.41,6,76.28649267
0.25,1200,2000.00,0.37,59.00,2540,75000,0.22,0.3,9.41,6,77.27305851
0.25,1200,2000.00,0.37,59.00,1470,150000,0.35,0.1,9.41,6,74.92240015
0.25,1200,2000.00,0.37,59.00,1470,150000,0.35,0.2,9.41,6,76.40536842
0.25,1200,2000.00,0.37,59.00,1470,150000,0.35,0.3,9.41,6,77.40152218
0.25,1200,2000.00,0.37,59.00,2530,85000,0.21,0.1,9.41,6,74.83005338
0.25,1200,2000.00,0.37,59.00,2530,85000,0.21,0.2,9.41,6,76.31234662
0.25,1200,2000.00,0.37,59.00,2530,85000,0.21,0.3,9.41,6,77.30203197
0.3,1200,2000.00,0.37,59.00,1770,220000,0.2,0.1,10.3,6,77.8353836
0.3,1200,2000.00,0.37,59.00,1770,220000,0.2,0.2,10.3,6,79.27759503
0.3,1200,2000.00,0.37,59.00,1770,220000,0.2,0.3,10.3,6,80.20585349
0.3,1200,2000.00,0.37,59.00,2540,75000,0.22,0.1,10.3,6,77.64384154
0.3,1200,2000.00,0.37,59.00,2540,75000,0.22,0.2,10.3,6,79.11734641
0.3,1200,2000.00,0.37,59.00,2540,75000,0.22,0.3,10.3,6,80.05633311
0.3,1200,2000.00,0.37,59.00,1470,150000,0.35,0.1,10.3,6,77.77032602
0.3,1200,2000.00,0.37,59.00,1470,150000,0.35,0.2,10.3,6,79.22694226
0.3,1200,2000.00,0.37,59.00,1470,150000,0.35,0.3,10.3,6,80.16204923
0.3,1200,2000.00,0.37,59.00,2530,85000,0.21,0.1,10.3,6,77.67196959
0.3,1200,2000.00,0.37,59.00,2530,85000,0.21,0.2,10.3,6,79.14098524
0.3,1200,2000.00,0.37,59.00,2530,85000,0.21,0.3,10.3,6,80.08010301
0.35,1200,2000.00,0.37,59.00,1770,220000,0.2,0.1,11.13,6,88.01553613
0.35,1200,2000.00,0.37,59.00,1770,220000,0.2,0.2,11.13,6,89.48366049
0.35,1200,2000.00,0.37,59.00,1770,220000,0.2,0.3,11.13,6,90.50401669
0.35,1200,2000.00,0.37,59.00,2540,75000,0.22,0.1,11.13,6,87.82127432
0.35,1200,2000.00,0.37,59.00,2540,75000,0.22,0.2,11.13,6,89.35289651
0.35,1200,2000.00,0.37,59.00,2540,75000,0.22,0.3,11.13,6,90.40110551
0.35,1200,2000.00,0.37,59.00,1470,150000,0.35,0.1,11.13,6,87.95173028
0.35,1200,2000.00,0.37,59.00,1470,150000,0.35,0.2,11.13,6,89.44629842
0.35,1200,2000.00,0.37,59.00,1470,150000,0.35,0.3,11.13,6,90.47725179
0.35,1200,2000.00,0.37,59.00,2530,85000,0.21,0.1,11.13,6,87.84949412
0.35,1200,2000.00,0.37,59.00,2530,85000,0.21,0.2,11.13,6,89.37318646
0.35,1200,2000.00,0.37,59.00,2530,85000,0.21,0.3,11.13,6,90.41873469
0.4,1200,2000.00,0.37,59.00,1770,220000,0.2,0.1,11.9,6,98.1592834
0.4,1200,2000.00,0.37,59.00,1770,220000,0.2,0.2,11.9,6,100.1374417
0.4,1200,2000.00,0.37,59.00,1770,220000,0.2,0.3,11.9,6,101.5604969
0.4,1200,2000.00,0.37,59.00,2540,75000,0.22,0.1,11.9,6,97.89918413
0.4,1200,2000.00,0.37,59.00,2540,75000,0.22,0.2,11.9,6,99.95711939
0.4,1200,2000.00,0.37,59.00,2540,75000,0.22,0.3,11.9,6,101.4291169
0.4,1200,2000.00,0.37,59.00,1470,150000,0.35,0.1,11.9,6,98.07504998
0.4,1200,2000.00,0.37,59.00,1470,150000,0.35,0.2,11.9,6,100.0885584
0.4,1200,2000.00,0.37,59.00,1470,150000,0.35,0.3,11.9,6,101.5276634
0.4,1200,2000.00,0.37,59.00,2530,85000,0.21,0.1,11.9,6,97.93613332
0.4,1200,2000.00,0.37,59.00,2530,85000,0.21,0.2,11.9,6,99.98684652
0.4,1200,2000.00,0.37,59.00,2530,85000,0.21,0.3,11.9,6,101.4532276
0.45,1200,2000.00,0.37,59.00,1770,220000,0.2,0.1,12.62,6,107.3768038
0.45,1200,2000.00,0.37,59.00,1770,220000,0.2,0.2,12.62,6,110.0526256
0.45,1200,2000.00,0.37,59.00,1770,220000,0.2,0.3,12.62,6,112.0760103
0.45,1200,2000.00,0.37,59.00,2540,75000,0.22,0.1,12.62,6,107.0683849
0.45,1200,2000.00,0.37,59.00,2540,75000,0.22,0.2,12.62,6,109.8135831
0.45,1200,2000.00,0.37,59.00,2540,75000,0.22,0.3,12.62,6,111.8999806
0.45,1200,2000.00,0.37,59.00,1470,150000,0.35,0.1,12.62,6,107.2788472
0.45,1200,2000.00,0.37,59.00,1470,150000,0.35,0.2,12.62,6,109.9863687
0.45,1200,2000.00,0.37,59.00,1470,150000,0.35,0.3,12.62,6,112.0305807
0.45,1200,2000.00,0.37,59.00,2530,85000,0.21,0.1,12.62,6,107.1131853
0.45,1200,2000.00,0.37,59.00,2530,85000,0.21,0.2,12.62,6,109.8528195
0.45,1200,2000.00,0.37,59.00,2530,85000,0.21,0.3,12.62,6,111.9316476
0.5,1200,2000.00,0.37,59.00,1770,220000,0.2,0.1,13.3,6,105.1848868
0.5,1200,2000.00,0.37,59.00,1770,220000,0.2,0.2,13.3,6,107.2692789
0.5,1200,2000.00,0.37,59.00,1770,220000,0.2,0.3,13.3,6,108.7904416
0.5,1200,2000.00,0.37,59.00,2540,75000,0.22,0.1,13.3,6,104.9630212
0.5,1200,2000.00,0.37,59.00,2540,75000,0.22,0.2,13.3,6,107.1515238
0.5,1200,2000.00,0.37,59.00,2540,75000,0.22,0.3,13.3,6,108.7069094
0.5,1200,2000.00,0.37,59.00,1470,150000,0.35,0.1,13.3,6,105.1237155
0.5,1200,2000.00,0.37,59.00,1470,150000,0.35,0.2,13.3,6,107.2363733
0.5,1200,2000.00,0.37,59.00,1470,150000,0.35,0.3,13.3,6,108.7667634
0.5,1200,2000.00,0.37,59.00,2530,85000,0.21,0.1,13.3,6,105.0027557
0.5,1200,2000.00,0.37,59.00,2530,85000,0.21,0.2,13.3,6,107.1729803
0.5,1200,2000.00,0.37,59.00,2530,85000,0.21,0.3,13.3,6,108.7222186
0.05,1180,2070.00,0.36,58.31,1770,220000,0.2,0.1,4.21,6,65.41726843
0.05,1180,2070.00,0.36,58.31,1770,220000,0.2,0.2,4.21,6,65.59664701
0.05,1180,2070.00,0.36,58.31,1770,220000,0.2,0.3,4.21,6,65.72756173
0.05,1180,2070.00,0.36,58.31,2540,75000,0.22,0.1,4.21,6,65.33015798
0.05,1180,2070.00,0.36,58.31,2540,75000,0.22,0.2,4.21,6,65.5481045
0.05,1180,2070.00,0.36,58.31,2540,75000,0.22,0.3,4.21,6,65.66793052
0.05,1180,2070.00,0.36,58.31,1470,150000,0.35,0.1,4.21,6,65.39556291
0.05,1180,2070.00,0.36,58.31,1470,150000,0.35,0.2,4.21,6,65.57737943
0.05,1180,2070.00,0.36,58.31,1470,150000,0.35,0.3,4.21,6,65.70231071
0.05,1180,2070.00,0.36,58.31,2530,85000,0.21,0.1,4.21,6,65.34704005
0.05,1180,2070.00,0.36,58.31,2530,85000,0.21,0.2,4.21,6,65.55342602
0.05,1180,2070.00,0.36,58.31,2530,85000,0.21,0.3,4.21,6,65.6734421
0.1,1180,2070.00,0.36,58.31,1770,220000,0.2,0.1,5.95,6,66.27549512
0.1,1180,2070.00,0.36,58.31,1770,220000,0.2,0.2,5.95,6,66.6000556
0.1,1180,2070.00,0.36,58.31,1770,220000,0.2,0.3,5.95,6,66.85338501
0.1,1180,2070.00,0.36,58.31,2540,75000,0.22,0.1,5.95,6,66.19872625
0.1,1180,2070.00,0.36,58.31,2540,75000,0.22,0.2,5.95,6,66.5059328
0.1,1180,2070.00,0.36,58.31,2540,75000,0.22,0.3,5.95,6,66.73903124
0.1,1180,2070.00,0.36,58.31,1470,150000,0.35,0.1,5.95,6,66.2472491
0.1,1180,2070.00,0.36,58.31,1470,150000,0.35,0.2,5.95,6,66.56133693
0.1,1180,2070.00,0.36,58.31,1470,150000,0.35,0.3,5.95,6,66.8074836
0.1,1180,2070.00,0.36,58.31,2530,85000,0.21,0.1,5.95,6,66.20845834
0.1,1180,2070.00,0.36,58.31,2530,85000,0.21,0.2,5.95,6,66.51498332
0.1,1180,2070.00,0.36,58.31,2530,85000,0.21,0.3,5.95,6,66.75011994
0.15,1180,2070.00,0.36,58.31,1770,220000,0.2,0.1,7.29,6,66.77623603
0.15,1180,2070.00,0.36,58.31,1770,220000,0.2,0.2,7.29,6,67.17179822
0.15,1180,2070.00,0.36,58.31,1770,220000,0.2,0.3,7.29,6,67.47057684
0.15,1180,2070.00,0.36,58.31,2540,75000,0.22,0.1,7.29,6,66.70242939
0.15,1180,2070.00,0.36,58.31,2540,75000,0.22,0.2,7.29,6,67.07595837
0.15,1180,2070.00,0.36,58.31,2540,75000,0.22,0.3,7.29,6,67.36650568
0.15,1180,2070.00,0.36,58.31,1470,150000,0.35,0.1,7.29,6,66.74755748
0.15,1180,2070.00,0.36,58.31,1470,150000,0.35,0.2,7.29,6,67.13523569
0.15,1180,2070.00,0.36,58.31,1470,150000,0.35,0.3,7.29,6,67.43374561
0.15,1180,2070.00,0.36,58.31,2530,85000,0.21,0.1,7.29,6,66.71056896
0.15,1180,2070.00,0.36,58.31,2530,85000,0.21,0.2,7.29,6,67.08597883
0.15,1180,2070.00,0.36,58.31,2530,85000,0.21,0.3,7.29,6,67.3782825
0.2,1180,2070.00,0.36,58.31,1770,220000,0.2,0.1,8.4,6,68.3359273
0.2,1180,2070.00,0.36,58.31,1770,220000,0.2,0.2,8.4,6,69.01749514
0.2,1180,2070.00,0.36,58.31,1770,220000,0.2,0.3,8.4,6,69.50759956
0.2,1180,2070.00,0.36,58.31,2540,75000,0.22,0.1,8.4,6,68.2515497
0.2,1180,2070.00,0.36,58.31,2540,75000,0.22,0.2,8.4,6,68.92335923
0.2,1180,2070.00,0.36,58.31,2540,75000,0.22,0.3,8.4,6,69.41643899
