Volume Fraction,Matrix Material,Fibre Material,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Mesh Size, Composite Ultimate Strength (MPa)
0.2,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,8.4,1,6,69.0969
0.2,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,8.4,1,6,69.7710
0.2,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,8.4,1,6,70.2533
0.2,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,8.4,1,6,69.0541
0.2,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,8.4,1,6,69.7207
0.2,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,8.4,1,6,70.2026
0.25,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,9.41,1,6,74.9849
0.25,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,9.41,1,6,76.4634
0.25,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,9.41,1,6,77.4595
0.25,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,9.41,1,6,74.8027
0.25,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,9.41,1,6,76.2865
0.25,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,9.41,1,6,77.2731
0.25,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,9.41,1,6,74.9224
0.25,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,9.41,1,6,76.4054
0.25,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,9.41,1,6,77.4015
0.25,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,9.41,1,6,74.8301
0.25,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,9.41,1,6,76.3123
0.25,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,9.41,1,6,77.3020
0.3,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,10.3,1,6,77.8354
0.3,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,10.3,1,6,79.2776
0.3,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,10.3,1,6,80.2059
0.3,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,10.3,1,6,77.6438
0.3,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,10.3,1,6,79.1173
0.3,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,10.3,1,6,80.0563
0.3,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,10.3,1,6,77.7703
0.3,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,10.3,1,6,79.2269
0.3,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,10.3,1,6,80.1620
0.3,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,10.3,1,6,77.6720
0.3,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,10.3,1,6,79.1410
0.3,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,10.3,1,6,80.0801
0.35,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,11.13,1,6,88.0155
0.35,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,11.13,1,6,89.4837
0.35,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,11.13,1,6,90.5040
0.35,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,11.13,1,6,87.8213
0.35,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,11.13,1,6,89.3529
0.35,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,11.13,1,6,90.4011
0.35,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,11.13,1,6,87.9517
0.35,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,11.13,1,6,89.4463
0.35,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,11.13,1,6,90.4773
0.35,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,11.13,1,6,87.8495
0.35,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,11.13,1,6,89.3732
0.35,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,11.13,1,6,90.4187
0.4,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,11.9,1,6,98.1593
0.4,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,11.9,1,6,100.1374
0.4,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,11.9,1,6,101.5605
0.4,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,11.9,1,6,97.8992
