Volume Fraction,Matrix Material,Fibre Material,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Mesh Size,Composite Yield Strength (Mpa)
0.35,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,11.13,1,6,71.4950
0.35,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,11.13,1,6,70.7150
0.35,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,11.13,1,6,70.7000
0.4,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,11.9,1,6,76.0520
0.4,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,11.9,1,6,76.0990
0.4,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,11.9,1,6,76.1650
0.4,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,11.9,1,6,75.7650
0.4,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,11.9,1,6,75.6750
0.4,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,11.9,1,6,75.8870
0.4,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,11.9,1,6,75.8990
0.4,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,11.9,1,6,75.9120
0.4,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,11.9,1,6,76.1050
0.4,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,11.9,1,6,75.8070
0.4,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,11.9,1,6,75.7650
0.4,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,11.9,1,6,75.9650
0.45,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,12.62,1,6,80.2280
0.45,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,12.62,1,6,79.5850
0.45,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,12.62,1,6,79.5650
