Volume Fraction,Matrix Material,Fibre Material,Matrix Density,Matrix Elastic Modulus,Matrix Poisson's Ratio,Matrix Yield Strength,Fibre Density,Fibre Elastic Modulus,Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Composite Elastic Modulus
0.05,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,4.21,1,2308.1034
0.05,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,4.21,1,2347.7635
0.05,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,4.21,1,2347.7635
0.05,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,4.21,1,2347.7634
0.05,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,4.21,1,2317.0481
0.05,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,4.21,1,2317.0481
0.05,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,4.21,1,2317.0482
0.1,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,5.95,1,2615.5563
0.1,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,5.95,1,2615.5563
0.1,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,5.95,1,2615.5562
0.1,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,5.95,1,2557.451
0.1,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,5.95,1,2557.451
0.1,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,5.95,1,2557.4511
0.1,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,5.95,1,2595.9
0.1,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,5.95,1,2595.9
0.1,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,5.95,1,2595.9
0.1,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,5.95,1,2567.1216
0.1,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,5.95,1,2567.1216
0.1,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,5.95,1,2567.1218
0.15,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,7.29,1,2930.3269
0.15,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,7.29,1,2930.3269
0.15,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,7.29,1,2930.3269
0.15,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,7.29,1,2863.298
0.15,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,7.29,1,2863.298
0.15,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,7.29,1,2863.2978
0.15,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,7.29,1,2907.5171
0.15,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,7.29,1,2907.5171
0.15,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,7.29,1,2907.5173
0.15,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,7.29,1,2874.9765
0.15,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,7.29,1,2874.9765
0.15,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,7.29,1,2874.9765
0.2,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,8.4,1,3272.9373
0.2,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,8.4,1,3272.9373
0.2,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,8.4,1,3272.9371
0.2,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,8.4,1,3190.1853
0.2,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,8.4,1,3190.1853
0.2,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,8.4,1,3190.1852
0.2,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,8.4,1,3244.8931
0.2,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,8.4,1,3244.8931
0.2,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,8.4,1,3244.8929
0.2,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,8.4,1,3204.8516
0.2,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,8.4,1,3204.8516
0.2,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,8.4,1,3204.8515
0.25,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,9.41,1,3698.8024
0.25,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,9.41,1,3698.8024
0.25,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,9.41,1,3698.8025
0.25,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,9.41,1,3589.5542
0.25,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,9.41,1,3589.5542
0.25,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,9.41,1,3589.5542
0.25,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,9.41,1,3662.074
0.25,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,9.41,1,3662.074
0.25,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,9.41,1,3662.0739
0.25,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,9.41,1,3609.0141
0.25,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,9.41,1,3609.0141
0.25,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,9.41,1,3609.0142
0.3,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,10.3,1,4059.4008
0.3,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,10.3,1,4059.4008
0.3,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,10.3,1,4059.4008
0.3,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,10.3,1,3922.7788
0.3,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,10.3,1,3922.7788
0.3,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,10.3,1,3922.7792
0.3,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,10.3,1,4013.9345
0.3,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,10.3,1,4013.9345
0.3,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,10.3,1,4013.9345
0.3,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,10.3,1,3947.0783
0.3,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,10.3,1,3947.0783
0.3,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,10.3,1,3947.0782
0.35,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,11.13,1,4840.0102
0.35,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,11.13,1,4840.0102
0.35,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,11.13,1,4840.0101
0.35,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,11.13,1,4639.5566
0.35,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,11.13,1,4639.5566
0.35,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,11.13,1,4639.5565
0.35,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,11.13,1,4774.2455
0.35,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,11.13,1,4774.2455
0.35,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,11.13,1,4774.2456
0.35,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,11.13,1,4675.0931
0.35,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,11.13,1,4675.0931
0.35,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,11.13,1,4675.0931
0.4,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,11.9,1,5586.8654
0.4,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,11.9,1,5586.8654
0.4,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,11.9,1,5586.8658
0.4,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,11.9,1,5309.9492
0.4,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,11.9,1,5309.9492
0.4,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,11.9,1,5309.9491
0.4,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,11.9,1,5497.2429
0.4,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,11.9,1,5497.2429
0.4,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,11.9,1,5497.2427
0.4,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,11.9,1,5358.6336
0.4,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,11.9,1,5358.6336
0.4,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,11.9,1,5358.6336
0.45,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,12.62,1,6610.3404
0.45,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,12.62,1,6610.3404
0.45,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,12.62,1,6610.0724
0.45,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,12.62,1,6207.0922
0.45,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,12.62,1,6207.0922
0.45,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,12.62,1,6207.0924
0.45,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,12.62,1,6482.3807
0.45,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,12.62,1,6482.3807
0.45,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,12.62,1,6482.3322
0.45,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,12.62,1,6277.0171
0.45,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,12.62,1,6277.0171
0.45,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,12.62,1,6277.0171
0.5,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,13.3,1,7396.9487
