Volume Fraction,Matrix Material,Fibre Material,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter,Fibre Type,Mesh Size,Composite Elastic Modulus (MPa)
0.2,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,8.4,1,6,3190.1853
0.2,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,8.4,1,6,3190.1852
0.2,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,8.4,1,6,3244.8931
0.2,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,8.4,1,6,3244.8931
0.2,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,8.4,1,6,3244.8929
0.2,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,8.4,1,6,3204.8516
0.2,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,8.4,1,6,3204.8516
0.2,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,8.4,1,6,3204.8515
0.25,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,9.41,1,6,3698.8024
0.25,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,9.41,1,6,3698.8024
0.25,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,9.41,1,6,3698.8025
0.25,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,9.41,1,6,3589.5542
0.25,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,9.41,1,6,3589.5542
0.25,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,9.41,1,6,3589.5542
0.25,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,9.41,1,6,3662.0740
0.25,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,9.41,1,6,3662.0740
0.25,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,9.41,1,6,3662.0739
0.25,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,9.41,1,6,3609.0141
0.25,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,9.41,1,6,3609.0141
0.25,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,9.41,1,6,3609.0142
0.3,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,10.3,1,6,4059.4008
0.3,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,10.3,1,6,4059.4008
0.3,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,10.3,1,6,4059.4008
0.3,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,10.3,1,6,3922.7788
0.3,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,10.3,1,6,3922.7788
0.3,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,10.3,1,6,3922.7792
0.3,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,10.3,1,6,4013.9345
0.3,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,10.3,1,6,4013.9345
0.3,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,10.3,1,6,4013.9345
0.3,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,10.3,1,6,3947.0783
0.3,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,10.3,1,6,3947.0783
0.3,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,10.3,1,6,3947.0782
0.35,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,11.13,1,6,4840.0102
0.35,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,11.13,1,6,4840.0102
0.35,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,11.13,1,6,4840.0101
0.35,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,11.13,1,6,4639.5566
0.35,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,11.13,1,6,4639.5566
0.35,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,11.13,1,6,4639.5565
0.35,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,11.13,1,6,4774.2455
0.35,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,11.13,1,6,4774.2455
0.35,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,11.13,1,6,4774.2456
0.35,2,4,1200,2000,0.37,59,2530,85000,0.21,0.1,11.13,1,6,4675.0931
0.35,2,4,1200,2000,0.37,59,2530,85000,0.21,0.2,11.13,1,6,4675.0931
0.35,2,4,1200,2000,0.37,59,2530,85000,0.21,0.3,11.13,1,6,4675.0931
0.4,2,1,1200,2000,0.37,59,1770,220000,0.2,0.1,11.9,1,6,5586.8654
0.4,2,1,1200,2000,0.37,59,1770,220000,0.2,0.2,11.9,1,6,5586.8654
0.4,2,1,1200,2000,0.37,59,1770,220000,0.2,0.3,11.9,1,6,5586.8658
0.4,2,2,1200,2000,0.37,59,2540,75000,0.22,0.1,11.9,1,6,5309.9492
0.4,2,2,1200,2000,0.37,59,2540,75000,0.22,0.2,11.9,1,6,5309.9492
0.4,2,2,1200,2000,0.37,59,2540,75000,0.22,0.3,11.9,1,6,5309.9491
0.4,2,3,1200,2000,0.37,59,1470,150000,0.35,0.1,11.9,1,6,5497.2429
0.4,2,3,1200,2000,0.37,59,1470,150000,0.35,0.2,11.9,1,6,5497.2429
0.4,2,3,1200,2000,0.37,59,1470,150000,0.35,0.3,11.9,1,6,5497.2427
